Thread  	Address                 	Instruction                     	Result                                  	
000007BC	.vmp0:sub_40428E:loc_4041E6	mov     al, [esi]               	EAX=0000002C                            	
000007BC	.vmp0:sub_40428E-A6     	mov     edx, [eax+edi]          	                                        	
000007BC	.vmp0:sub_40428E-A3     	sub     ebp, 4                  	EBP=0060FF36 PF=1                       	
000007BC	.vmp0:sub_40428E-A0     	mov     [ebp+0], edx            	                                        	
000007BC	.vmp0:sub_40428E-9D     	lea     esi, [esi+1]            	ESI=004048E4                            	
000007BC	.vmp0:sub_40428E-9A     	jmp     loc_4047EA              	                                        	
000007BC	.vmp0:sub_40428E:loc_4047EA	lea     eax, [edi+50h]          	EAX=0060FEA0                            	
000007BC	.vmp0:sub_40428E+55F    	cmp     ebp, eax                	                                        	
000007BC	.vmp0:sub_40428E+561    	ja      loc_4042B3              	                                        	
000007BC	.vmp0:sub_40428E:loc_4042B3	mov     al, [esi]               	EAX=0060FE3E                            	
000007BC	.vmp0:sub_40428E+27     	movzx   eax, al                 	EAX=0000003E                            	
000007BC	.vmp0:sub_40428E+2A     	inc     esi                     	ESI=004048E5 PF=0                       	
000007BC	.vmp0:sub_40428E+2B     	jmp     ds:off_40435F[eax*4]    	                                        	
000007BC	.vmp0:sub_40428E:loc_4047A2	mov     eax, [ebp+0]            	EAX=0BABE512                            	
000007BC	.vmp0:sub_40428E+517    	mov     cl, [ebp+4]             	ECX=74439A1F                            	
000007BC	.vmp0:sub_40428E+51A    	sub     ebp, 2                  	EBP=0060FF34                            	
000007BC	.vmp0:sub_40428E+51D    	shr     eax, cl                 	EAX=00000000 PF=1 ZF=1                  	
000007BC	.vmp0:sub_40428E+51F    	mov     [ebp+4], eax            	                                        	
000007BC	.vmp0:sub_40428E+522    	pushf                           	ESP=0060FE4C                            	
000007BC	.vmp0:sub_40428E+523    	pop     dword ptr [ebp+0]       	ESP=0060FE50                            	
000007BC	.vmp0:sub_40428E+526    	jmp     loc_4047EA              	                                        	
000007BC	.vmp0:sub_40428E:loc_4047EA	lea     eax, [edi+50h]          	EAX=0060FEA0                            	
000007BC	.vmp0:sub_40428E+55F    	cmp     ebp, eax                	PF=0 ZF=0                               	
000007BC	.vmp0:sub_40428E+561    	ja      loc_4042B3              	                                        	
000007BC	.vmp0:sub_40428E:loc_4042B3	mov     al, [esi]               	EAX=0060FE93                            	
000007BC	.vmp0:sub_40428E+27     	movzx   eax, al                 	EAX=00000093                            	
000007BC	.vmp0:sub_40428E+2A     	inc     esi                     	ESI=004048E6                            	
000007BC	.vmp0:sub_40428E+2B     	jmp     ds:off_40435F[eax*4]    	                                        	
000007BC	.vmp0:sub_40428E:loc_40427C	movzx   eax, byte ptr [esi]     	EAX=00000014                            	
000007BC	.vmp0:sub_40428E-F      	mov     edx, [ebp+0]            	EDX=00000246                            	
000007BC	.vmp0:sub_40428E-C      	add     ebp, 4                  	EBP=0060FF38                            	
000007BC	.vmp0:sub_40428E-9      	inc     esi                     	ESI=004048E7 PF=1                       	
000007BC	.vmp0:sub_40428E-8      	mov     [eax+edi], edx          	                                        	
000007BC	.vmp0:sub_40428E-5      	jmp     loc_4042B3              	                                        	
000007BC	.vmp0:sub_40428E:loc_4042B3	mov     al, [esi]               	EAX=0000004D                            	
000007BC	.vmp0:sub_40428E+27     	movzx   eax, al                 	                                        	
000007BC	.vmp0:sub_40428E+2A     	inc     esi                     	ESI=004048E8                            	
000007BC	.vmp0:sub_40428E+2B     	jmp     ds:off_40435F[eax*4]    	                                        	
000007BC	.vmp0:sub_40428E:loc_40415F	mov     eax, ebp                	EAX=0060FF38                            	
000007BC	.vmp0:sub_40428E-12D    	sub     ebp, 4                  	EBP=0060FF34 PF=0                       	
000007BC	.vmp0:sub_40428E-12A    	mov     [ebp+0], eax            	                                        	
000007BC	.vmp0:sub_40428E-127    	jmp     loc_4047EA              	                                        	
000007BC	.vmp0:sub_40428E:loc_4047EA	lea     eax, [edi+50h]          	EAX=0060FEA0                            	
000007BC	.vmp0:sub_40428E+55F    	cmp     ebp, eax                	                                        	
000007BC	.vmp0:sub_40428E+561    	ja      loc_4042B3              	                                        	
000007BC	.vmp0:sub_40428E:loc_4042B3	mov     al, [esi]               	EAX=0060FE58                            	
000007BC	.vmp0:sub_40428E+27     	movzx   eax, al                 	EAX=00000058                            	
000007BC	.vmp0:sub_40428E+2A     	inc     esi                     	ESI=004048E9                            	
000007BC	.vmp0:sub_40428E+2B     	jmp     ds:off_40435F[eax*4]    	                                        	
000007BC	.vmp0:sub_40428E:loc_404344	mov     eax, [ebp+0]            	EAX=0060FF38                            	
000007BC	.vmp0:sub_40428E+B9     	mov     eax, ss:[eax]           	EAX=00000000                            	
000007BC	.vmp0:sub_40428E+BC     	mov     [ebp+0], eax            	                                        	
000007BC	.vmp0:sub_40428E+BF     	jmp     loc_4042B3              	                                        	
000007BC	.vmp0:sub_40428E:loc_4042B3	mov     al, [esi]               	EAX=0000001E                            	
000007BC	.vmp0:sub_40428E+27     	movzx   eax, al                 	                                        	
000007BC	.vmp0:sub_40428E+2A     	inc     esi                     	ESI=004048EA                            	
000007BC	.vmp0:sub_40428E+2B     	jmp     ds:off_40435F[eax*4]    	                                        	
000007BC	.vmp0:sub_40428E:loc_404137	mov     eax, [ebp+0]            	EAX=00000000                            	
000007BC	.vmp0:sub_40428E-154    	mov     edx, [ebp+4]            	EDX=00000000                            	
000007BC	.vmp0:sub_40428E-151    	not     eax                     	EAX=FFFFFFFF                            	
000007BC	.vmp0:sub_40428E-14F    	not     edx                     	EDX=FFFFFFFF                            	
000007BC	.vmp0:sub_40428E-14D    	and     eax, edx                	PF=1 SF=1                               	
000007BC	.vmp0:sub_40428E-14B    	mov     [ebp+4], eax            	                                        	
000007BC	.vmp0:sub_40428E-148    	pushf                           	ESP=0060FE4C                            	
000007BC	.vmp0:sub_40428E-147    	pop     dword ptr [ebp+0]       	ESP=0060FE50                            	
000007BC	.vmp0:sub_40428E-144    	jmp     loc_4042B3              	                                        	
000007BC	.vmp0:sub_40428E:loc_4042B3	mov     al, [esi]               	EAX=FFFFFFBE                            	
000007BC	.vmp0:sub_40428E+27     	movzx   eax, al                 	EAX=000000BE                            	
000007BC	.vmp0:sub_40428E+2A     	inc     esi                     	ESI=004048EB SF=0                       	
000007BC	.vmp0:sub_40428E+2B     	jmp     ds:off_40435F[eax*4]    	                                        	
000007BC	.vmp0:sub_40428E:loc_40427C	movzx   eax, byte ptr [esi]     	EAX=0000000C                            	
000007BC	.vmp0:sub_40428E-F      	mov     edx, [ebp+0]            	EDX=00000286                            	
000007BC	.vmp0:sub_40428E-C      	add     ebp, 4                  	EBP=0060FF38 PF=0                       	
000007BC	.vmp0:sub_40428E-9      	inc     esi                     	ESI=004048EC                            	
000007BC	.vmp0:sub_40428E-8      	mov     [eax+edi], edx          	                                        	
000007BC	.vmp0:sub_40428E-5      	jmp     loc_4042B3              	                                        	
000007BC	.vmp0:sub_40428E:loc_4042B3	mov     al, [esi]               	EAX=0000000E                            	
000007BC	.vmp0:sub_40428E+27     	movzx   eax, al                 	                                        	
000007BC	.vmp0:sub_40428E+2A     	inc     esi                     	ESI=004048ED PF=1                       	
000007BC	.vmp0:sub_40428E+2B     	jmp     ds:off_40435F[eax*4]    	                                        	
000007BC	.vmp0:sub_40428E:loc_404112	mov     eax, [ebp+0]            	EAX=FFFFFFFF                            	
000007BC	.vmp0:sub_40428E-179    	add     [ebp+4], eax            	CF=1 AF=1 ZF=1                          	
000007BC	.vmp0:sub_40428E-176    	pushf                           	ESP=0060FE4C                            	
000007BC	.vmp0:sub_40428E-175    	pop     dword ptr [ebp+0]       	ESP=0060FE50                            	
000007BC	.vmp0:sub_40428E-172    	jmp     loc_4042B3              	                                        	
000007BC	.vmp0:sub_40428E:loc_4042B3	mov     al, [esi]               	EAX=FFFFFF93                            	
000007BC	.vmp0:sub_40428E+27     	movzx   eax, al                 	EAX=00000093                            	
000007BC	.vmp0:sub_40428E+2A     	inc     esi                     	ESI=004048EE AF=0 ZF=0                  	
000007BC	.vmp0:sub_40428E+2B     	jmp     ds:off_40435F[eax*4]    	                                        	
000007BC	.vmp0:sub_40428E:loc_40427C	movzx   eax, byte ptr [esi]     	EAX=0000000C                            	
000007BC	.vmp0:sub_40428E-F      	mov     edx, [ebp+0]            	EDX=00000257                            	
000007BC	.vmp0:sub_40428E-C      	add     ebp, 4                  	EBP=0060FF3C CF=0                       	
000007BC	.vmp0:sub_40428E-9      	inc     esi                     	ESI=004048EF PF=0                       	
000007BC	.vmp0:sub_40428E-8      	mov     [eax+edi], edx          	                                        	
000007BC	.vmp0:sub_40428E-5      	jmp     loc_4042B3              	                                        	
000007BC	.vmp0:sub_40428E:loc_4042B3	mov     al, [esi]               	EAX=00000093                            	
000007BC	.vmp0:sub_40428E+27     	movzx   eax, al                 	                                        	
000007BC	.vmp0:sub_40428E+2A     	inc     esi                     	ESI=004048F0 PF=1 AF=1                  	
000007BC	.vmp0:sub_40428E+2B     	jmp     ds:off_40435F[eax*4]    	                                        	
000007BC	.vmp0:sub_40428E:loc_40427C	movzx   eax, byte ptr [esi]     	EAX=00000004                            	
000007BC	.vmp0:sub_40428E-F      	mov     edx, [ebp+0]            	EDX=00000000                            	
000007BC	.vmp0:sub_40428E-C      	add     ebp, 4                  	EBP=0060FF40 PF=0                       	
000007BC	.vmp0:sub_40428E-9      	inc     esi                     	ESI=004048F1 AF=0                       	
000007BC	.vmp0:sub_40428E-8      	mov     [eax+edi], edx          	                                        	
000007BC	.vmp0:sub_40428E-5      	jmp     loc_4042B3              	                                        	
000007BC	.vmp0:sub_40428E:loc_4042B3	mov     al, [esi]               	EAX=0000006B                            	
000007BC	.vmp0:sub_40428E+27     	movzx   eax, al                 	                                        	
000007BC	.vmp0:sub_40428E+2A     	inc     esi                     	ESI=004048F2                            	
000007BC	.vmp0:sub_40428E+2B     	jmp     ds:off_40435F[eax*4]    	                                        	
000007BC	.vmp0:sub_40428E:loc_4047D9	mov     al, [esi]               	EAX=0000000C                            	
000007BC	.vmp0:sub_40428E+54D    	cbw                             	                                        	
000007BC	.vmp0:sub_40428E+54F    	inc     esi                     	ESI=004048F3 PF=1                       	
000007BC	.vmp0:sub_40428E+550    	cwde                            	                                        	
000007BC	.vmp0:sub_40428E+551    	sub     ebp, 4                  	EBP=0060FF3C AF=1                       	
000007BC	.vmp0:sub_40428E+554    	mov     [ebp+0], eax            	                                        	
000007BC	.vmp0:sub_40428E+557    	jmp     $+5                     	                                        	
000007BC	.vmp0:sub_40428E:loc_4047EA	lea     eax, [edi+50h]          	EAX=0060FEA0                            	
000007BC	.vmp0:sub_40428E+55F    	cmp     ebp, eax                	AF=0                                    	
000007BC	.vmp0:sub_40428E+561    	ja      loc_4042B3              	                                        	
000007BC	.vmp0:sub_40428E:loc_4042B3	mov     al, [esi]               	EAX=0060FE34                            	
000007BC	.vmp0:sub_40428E+27     	movzx   eax, al                 	EAX=00000034                            	
000007BC	.vmp0:sub_40428E+2A     	inc     esi                     	ESI=004048F4 PF=0                       	
000007BC	.vmp0:sub_40428E+2B     	jmp     ds:off_40435F[eax*4]    	                                        	
000007BC	.vmp0:sub_40428E:loc_4041E6	mov     al, [esi]               	EAX=00000020                            	
000007BC	.vmp0:sub_40428E-A6     	mov     edx, [eax+edi]          	EDX=0060FF40                            	
000007BC	.vmp0:sub_40428E-A3     	sub     ebp, 4                  	EBP=0060FF38                            	
000007BC	.vmp0:sub_40428E-A0     	mov     [ebp+0], edx            	                                        	
000007BC	.vmp0:sub_40428E-9D     	lea     esi, [esi+1]            	ESI=004048F5                            	
000007BC	.vmp0:sub_40428E-9A     	jmp     loc_4047EA              	                                        	
000007BC	.vmp0:sub_40428E:loc_4047EA	lea     eax, [edi+50h]          	EAX=0060FEA0                            	
000007BC	.vmp0:sub_40428E+55F    	cmp     ebp, eax                	                                        	
000007BC	.vmp0:sub_40428E+561    	ja      loc_4042B3              	                                        	
000007BC	.vmp0:sub_40428E:loc_4042B3	mov     al, [esi]               	EAX=0060FE0E                            	
000007BC	.vmp0:sub_40428E+27     	movzx   eax, al                 	EAX=0000000E                            	
000007BC	.vmp0:sub_40428E+2A     	inc     esi                     	ESI=004048F6 PF=1                       	
000007BC	.vmp0:sub_40428E+2B     	jmp     ds:off_40435F[eax*4]    	                                        	
000007BC	.vmp0:sub_40428E:loc_404112	mov     eax, [ebp+0]            	EAX=0060FF40                            	
000007BC	.vmp0:sub_40428E-179    	add     [ebp+4], eax            	PF=0                                    	
000007BC	.vmp0:sub_40428E-176    	pushf                           	ESP=0060FE4C                            	
000007BC	.vmp0:sub_40428E-175    	pop     dword ptr [ebp+0]       	ESP=0060FE50                            	
000007BC	.vmp0:sub_40428E-172    	jmp     loc_4042B3              	                                        	
000007BC	.vmp0:sub_40428E:loc_4042B3	mov     al, [esi]               	EAX=0060FF93                            	
000007BC	.vmp0:sub_40428E+27     	movzx   eax, al                 	EAX=00000093                            	
000007BC	.vmp0:sub_40428E+2A     	inc     esi                     	ESI=004048F7                            	
000007BC	.vmp0:sub_40428E+2B     	jmp     ds:off_40435F[eax*4]    	                                        	
000007BC	.vmp0:sub_40428E:loc_40427C	movzx   eax, byte ptr [esi]     	EAX=0000000C                            	
000007BC	.vmp0:sub_40428E-F      	mov     edx, [ebp+0]            	EDX=00000202                            	
000007BC	.vmp0:sub_40428E-C      	add     ebp, 4                  	EBP=0060FF3C PF=1                       	
000007BC	.vmp0:sub_40428E-9      	inc     esi                     	ESI=004048F8 PF=0                       	
000007BC	.vmp0:sub_40428E-8      	mov     [eax+edi], edx          	                                        	
000007BC	.vmp0:sub_40428E-5      	jmp     loc_4042B3              	                                        	
000007BC	.vmp0:sub_40428E:loc_4042B3	mov     al, [esi]               	EAX=00000058                            	
000007BC	.vmp0:sub_40428E+27     	movzx   eax, al                 	                                        	
000007BC	.vmp0:sub_40428E+2A     	inc     esi                     	ESI=004048F9 PF=1                       	
000007BC	.vmp0:sub_40428E+2B     	jmp     ds:off_40435F[eax*4]    	                                        	
000007BC	.vmp0:sub_40428E:loc_404344	mov     eax, [ebp+0]            	EAX=0060FF4C                            	
000007BC	.vmp0:sub_40428E+B9     	mov     eax, ss:[eax]           	EAX=000AFFE1                            	
000007BC	.vmp0:sub_40428E+BC     	mov     [ebp+0], eax            	                                        	
000007BC	.vmp0:sub_40428E+BF     	jmp     loc_4042B3              	                                        	
000007BC	.vmp0:sub_40428E:loc_4042B3	mov     al, [esi]               	EAX=000AFF36                            	
000007BC	.vmp0:sub_40428E+27     	movzx   eax, al                 	EAX=00000036                            	
000007BC	.vmp0:sub_40428E+2A     	inc     esi                     	ESI=004048FA                            	
000007BC	.vmp0:sub_40428E+2B     	jmp     ds:off_40435F[eax*4]    	                                        	
000007BC	.vmp0:sub_40428E:loc_4041E6	mov     al, [esi]               	EAX=0000002C                            	
000007BC	.vmp0:sub_40428E-A6     	mov     edx, [eax+edi]          	EDX=0BABE512                            	
000007BC	.vmp0:sub_40428E-A3     	sub     ebp, 4                  	EBP=0060FF38 PF=0                       	
000007BC	.vmp0:sub_40428E-A0     	mov     [ebp+0], edx            	                                        	
000007BC	.vmp0:sub_40428E-9D     	lea     esi, [esi+1]            	ESI=004048FB                            	
000007BC	.vmp0:sub_40428E-9A     	jmp     loc_4047EA              	                                        	
000007BC	.vmp0:sub_40428E:loc_4047EA	lea     eax, [edi+50h]          	EAX=0060FEA0                            	
000007BC	.vmp0:sub_40428E+55F    	cmp     ebp, eax                	                                        	
000007BC	.vmp0:sub_40428E+561    	ja      loc_4042B3              	                                        	
000007BC	.vmp0:sub_40428E:loc_4042B3	mov     al, [esi]               	EAX=0060FEE7                            	
000007BC	.vmp0:sub_40428E+27     	movzx   eax, al                 	EAX=000000E7                            	
000007BC	.vmp0:sub_40428E+2A     	inc     esi                     	ESI=004048FC PF=1                       	
000007BC	.vmp0:sub_40428E+2B     	jmp     ds:off_40435F[eax*4]    	                                        	
000007BC	.vmp0:sub_40428E:loc_4041E6	mov     al, [esi]               	EAX=00000004                            	
000007BC	.vmp0:sub_40428E-A6     	mov     edx, [eax+edi]          	EDX=00000000                            	
000007BC	.vmp0:sub_40428E-A3     	sub     ebp, 4                  	EBP=0060FF34 PF=0                       	
000007BC	.vmp0:sub_40428E-A0     	mov     [ebp+0], edx            	                                        	
000007BC	.vmp0:sub_40428E-9D     	lea     esi, [esi+1]            	ESI=004048FD                            	
000007BC	.vmp0:sub_40428E-9A     	jmp     loc_4047EA              	                                        	
000007BC	.vmp0:sub_40428E:loc_4047EA	lea     eax, [edi+50h]          	EAX=0060FEA0                            	
000007BC	.vmp0:sub_40428E+55F    	cmp     ebp, eax                	                                        	
000007BC	.vmp0:sub_40428E+561    	ja      loc_4042B3              	                                        	
000007BC	.vmp0:sub_40428E:loc_4042B3	mov     al, [esi]               	EAX=0060FEAD                            	
000007BC	.vmp0:sub_40428E+27     	movzx   eax, al                 	EAX=000000AD                            	
000007BC	.vmp0:sub_40428E+2A     	inc     esi                     	ESI=004048FE                            	
000007BC	.vmp0:sub_40428E+2B     	jmp     ds:off_40435F[eax*4]    	                                        	
000007BC	.vmp0:sub_40428E:loc_4042C0	mov     edx, [ebp+0]            	                                        	
000007BC	.vmp0:sub_40428E+35     	mov     eax, [ebp+4]            	EAX=0BABE512                            	
000007BC	.vmp0:sub_40428E+38     	idiv    dword ptr [ebp+8]       	EAX=0000010F EDX=000705E3               	
000007BC	.vmp0:sub_40428E+3B     	mov     [ebp+4], edx            	                                        	
000007BC	.vmp0:sub_40428E+3E     	mov     [ebp+8], eax            	                                        	
000007BC	.vmp0:sub_40428E+41     	pushf                           	ESP=0060FE4C                            	
000007BC	.vmp0:sub_40428E+42     	pop     dword ptr [ebp+0]       	ESP=0060FE50                            	
000007BC	.vmp0:sub_40428E+45     	jmp     loc_4042B3              	                                        	
000007BC	.vmp0:sub_40428E:loc_4042B3	mov     al, [esi]               	EAX=00000193                            	
000007BC	.vmp0:sub_40428E+27     	movzx   eax, al                 	EAX=00000093                            	
000007BC	.vmp0:sub_40428E+2A     	inc     esi                     	ESI=004048FF PF=1                       	
000007BC	.vmp0:sub_40428E+2B     	jmp     ds:off_40435F[eax*4]    	                                        	
000007BC	.vmp0:sub_40428E:loc_40427C	movzx   eax, byte ptr [esi]     	EAX=0000000C                            	
000007BC	.vmp0:sub_40428E-F      	mov     edx, [ebp+0]            	EDX=00000202                            	
000007BC	.vmp0:sub_40428E-C      	add     ebp, 4                  	EBP=0060FF38 PF=0                       	
000007BC	.vmp0:sub_40428E-9      	inc     esi                     	ESI=00404900 PF=1 AF=1                  	
000007BC	.vmp0:sub_40428E-8      	mov     [eax+edi], edx          	                                        	
000007BC	.vmp0:sub_40428E-5      	jmp     loc_4042B3              	                                        	
000007BC	.vmp0:sub_40428E:loc_4042B3	mov     al, [esi]               	EAX=000000A7                            	
000007BC	.vmp0:sub_40428E+27     	movzx   eax, al                 	                                        	
000007BC	.vmp0:sub_40428E+2A     	inc     esi                     	ESI=00404901 PF=0 AF=0                  	
000007BC	.vmp0:sub_40428E+2B     	jmp     ds:off_40435F[eax*4]    	                                        	
000007BC	.vmp0:sub_40428E:loc_40427C	movzx   eax, byte ptr [esi]     	EAX=00000014                            	
000007BC	.vmp0:sub_40428E-F      	mov     edx, [ebp+0]            	EDX=000705E3                            	
000007BC	.vmp0:sub_40428E-C      	add     ebp, 4                  	EBP=0060FF3C PF=1                       	
000007BC	.vmp0:sub_40428E-9      	inc     esi                     	ESI=00404902 PF=0                       	
000007BC	.vmp0:sub_40428E-8      	mov     [eax+edi], edx          	                                        	
000007BC	.vmp0:sub_40428E-5      	jmp     loc_4042B3              	                                        	
000007BC	.vmp0:sub_40428E:loc_4042B3	mov     al, [esi]               	EAX=000000CA                            	
000007BC	.vmp0:sub_40428E+27     	movzx   eax, al                 	                                        	
000007BC	.vmp0:sub_40428E+2A     	inc     esi                     	ESI=00404903 PF=1                       	
000007BC	.vmp0:sub_40428E+2B     	jmp     ds:off_40435F[eax*4]    	                                        	
000007BC	.vmp0:sub_40428E:loc_40427C	movzx   eax, byte ptr [esi]     	EAX=00000024                            	
000007BC	.vmp0:sub_40428E-F      	mov     edx, [ebp+0]            	EDX=0000010F                            	
000007BC	.vmp0:sub_40428E-C      	add     ebp, 4                  	EBP=0060FF40 PF=0 AF=1                  	
000007BC	.vmp0:sub_40428E-9      	inc     esi                     	ESI=00404904 AF=0                       	
000007BC	.vmp0:sub_40428E-8      	mov     [eax+edi], edx          	                                        	
000007BC	.vmp0:sub_40428E-5      	jmp     loc_4042B3              	                                        	
000007BC	.vmp0:sub_40428E:loc_4042B3	mov     al, [esi]               	EAX=00000093                            	
000007BC	.vmp0:sub_40428E+27     	movzx   eax, al                 	                                        	
000007BC	.vmp0:sub_40428E+2A     	inc     esi                     	ESI=00404905 PF=1                       	
000007BC	.vmp0:sub_40428E+2B     	jmp     ds:off_40435F[eax*4]    	                                        	
000007BC	.vmp0:sub_40428E:loc_40427C	movzx   eax, byte ptr [esi]     	EAX=00000004                            	
000007BC	.vmp0:sub_40428E-F      	mov     edx, [ebp+0]            	EDX=0060FF80                            	
